Building Num.,Building Name,Address,GSF,Status,Construction Date,Construction Cost,Renovation Date,Renovation Cost,Age,FCI,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,
,Plainsman Park: Strength and Rehabilitation Center,349 S Donahue Dr,"12,566",,2003,,,,14,,,,,,,,,,,,,,,
,Plant Science Env. Rooms,475-C Woodfield Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Plant Science Research Center,475 Woodfield Dr,"7,661",,1992,,,,25,,,,,,,,,,,,,,,
,Post Mortem Bldg,902 Simms Rd,788,,1961,,,,56,,,,,,,,,,,,,,,
,Potting / Mixing Shed (Hort),450-T Duncan Dr,"1,377",,2002,,,,15,,,,,,,,,,,,,,,
,Poultry Animal Nutrition Center,1088 Auburn Lakes Rd,"13,142",,,,,,2017,,,,,,,,,,,,,,,
,Poultry Annex,391 Woodfield Dr,"6,424",,1992,,,,25,,,,,,,,,,,,,,,
,Poultry Battery House,821-T Camp Auburn Rd,"6,427",,1985,,,,32,,,,,,,,,,,,,,,
,Poultry Cage House 1,821 Camp Auburn Rd,"6,127",,1977,,,,40,,,,,,,,,,,,,,,
,Poultry Cage House 2,821 Camp Auburn Rd,"6,127",,1977,,,,40,,,,,,,,,,,,,,,
,Poultry Cage House 3,821 Camp Auburn Rd,"6,127",,1977,,,,40,,,,,,,,,,,,,,,
,Poultry Cage House 4,821 Camp Auburn Rd,"6,127",,1977,,,,40,,,,,,,,,,,,,,,
,Poultry Disease Research Lab A,905 Simms Rd,915,,,,,,2017,,,,,,,,,,,,,,,
,Poultry Dorm,821-P Camp Auburn Rd,"1,859",,1977,,2011,"1,400,000",40,,,,,,,,,,,,,,,
,Poultry Feed Mill,821-B Camp Auburn Rd,"3,200",,1977,,,,40,,,,,,,,,,,,,,,
,Poultry Floor Pen 1,821-C Camp Auburn Rd,"6,000",,1977,,,,40,,,,,,,,,,,,,,,
,Poultry Floor Pen 2,821-C Camp Auburn Rd,"6,000",,1977,,,,40,,,,,,,,,,,,,,,
,Poultry Floor Pen 3,821-C Camp Auburn Rd,"6,000",,1977,,,,40,,,,,,,,,,,,,,,
,Poultry Floor Pen 4,821-C Camp Auburn Rd,"6,000",,1977,,,,40,,,,,,,,,,,,,,,
,Poultry Hatchery,821-C Camp Auburn Rd,"6,000",,1977,,,,40,,,,,,,,,,,,,,,
,Poultry Laboratory (SPF),821-G Camp Auburn Rd,"2,698",,1982,,,,35,,,,,,,,,,,,,,,
,Poultry Management House 1,821-I Camp Auburn Rd,"6,296",,1995,,,,22,,,,,,,,,,,,,,,
,Poultry Management House 2,821-I Camp Auburn Rd,"6,296",,1995,,,,22,,,,,,,,,,,,,,,
,Poultry Management House 3,821-I Camp Auburn Rd,"6,296",,1995,,,,22,,,,,,,,,,,,,,,
,Poultry Management House 4,821-I Camp Auburn Rd,"6,296",,1995,,,,22,,,,,,,,,,,,,,,
,Poultry Office & Storage,821 Camp Auburn Rd,"6,092",,1986,,,,31,,,,,,,,,,,,,,,
,Poultry Processing,821-S Camp Auburn Rd,"7,061",,1989,,,,28,,,,,,,,,,,,,,,
,Poultry Science Building,260 Lem Morrison Dr,"88,635",,2004,,,,13,,,,,,,,,,,,,,,
,Poultry Solar House,821-L Camp Auburn Rd,"8,120",,1992,,,,25,,,,,,,,,,,,,,,
,Poultry Storage,821-N Camp Auburn Rd,"3,207",,1986,,,,31,,,,,,,,,,,,,,,
,President's Garage,,,,,,,,2017,,,,,,,,,,,,,,,
,President's Garden House,430 S College St,299,,1995,,,,22,,,,,,,,,,,,,,,
,President's House,430 S College St,"7,152",,1939,,,,78,,,,,,,,,,,,,,,
,President's House,430 S College St,"7,152",,1939,,,,78,,,,,,,,,,,,,,,
,Property Service Storage,909 Shug Jordan Pkwy,"15,855",,1974,,,,43,,,,,,,,,,,,,,,
,Property Services,,,,,,,,2017,,,,,,,,,,,,,,,
,PSR Greenhouse A,475-A Woodfield Dr,"7,287",,2009,,,,8,,,,,,,,,,,,,,,
,PSR Greenhouse B,475-B Woodfield Dr,"7,017",,2009,,,,8,,,,,,,,,,,,,,,
,Public Safety and Security,543 W Magnolia Av,"9,362",,1992,,,,25,,,,,,,,,,,,,,,
,Pump House,,,,,,,,2017,,,,,,,,,,,,,,,
,Quad Center,282 Quad Dr,"28,357",,1939,,,,78,,,,,,,,,,,,,,,
,R. B. Draughon Library (RBD),231 Mell St,"395,503",,1962,,,,55,,,,,,,,,,,,,,,
,Ramsay Hall,261 W Magnolia Av,"47,964",,1925,,,,92,,,,,,,,,,,,,,,
,Raptor Rehab Center: Hospital,1350 Pratt-Carden Dr,"2,804",,1998,,,,19,,,,,,,,,,,,,,,
,Raptor Rehab Center: Mews,1350-A Pratt-Carden Dr,617,,2002,,,,15,,,,,,,,,,,,,,,
,Raptor Rehab Center: Training,1350-B Pratt-Carden Dr,"6,376",,2002,,,,15,,,,,,,,,,,,,,,
,Recreation and Wellness Center,601 Heisman Dr,"289,759",,2013,"53,000,000",2017,"2,900,000",4,0.054716981,,,,,,,,,,,,,,
,Research Op. Aviary House,950 Bee Lab Rd,"2,153",,1995,,,,22,,,,,,,,,,,,,,,
,Research Operations Shop Bldg,925-A Camp Auburn Rd,"3,181",,1990,,,,27,,,,,,,,,,,,,,,
,Research Operations Shop/Office,925 Camp Auburn Rd,"8,160",,1990,,,,27,,,,,,,,,,,,,,,
,Research Park,Shug Jordan/S. College St.,,,,,,,2017,,,,,,,,,,,,,,,
,Research Park Building 1,570 Devall Drive,"43,667",,,,,,2017,,,,,,,,,,,,,,,
,Retractable Greenhouse,,,,,,,,2017,,,,,,,,,,,,,,,
,Richards House,465 Webster Rd,"4,740",,,,,,2017,,,,,,,,,,,,,,,
,Risk Management and Safety Building,1161-Z W Samford Av,,,,,2017,"4,800,000",2017,,,,,,,,,,,,,,,
,Ross Hall,222 Foy Union Cir,"58,108",,1930,,,,87,,,,,,,,,,,,,,,
,Rouse Life Sciences Building,120 W Samford Av,"83,279",,1992,,,,25,,,,,,,,,,,,,,,
,Samford Hall,182 S College St,"63,973",,1888,,,,129,,,,,,,,,,,,,,,
,Sasnett Residence Hall (Dorm K),350 P.O. Davis Dr,"61,016",,1967,,,,50,,,,,,,,,,,,,,,
,Satellite Uplink Building,298A S Hemlock Dr,395,,1990,,,,27,,,,,,,,,,,,,,,
,Scales Shed,405-B Shug Jordan Pkwy,719,,2001,,,,16,,,,,,,,,,,,,,,
,Sciences Center Auditorium,317 Roosevelt Conc,"10,809",,2005,,,,12,,,,,,,,,,,,,,,
,Sciences Center Classrooms,315 Roosevelt Conc,"33,780",,2005,,,,12,,,,,,,,,,,,,,,
,Sciences Center Laboratories,285 Roosevelt Conc,"106,609",,2005,,,,12,,,,,,,,,,,,,,,
,Scott-Ritchey Building B,1230 H. C. Morgan Dr,"2,991",,1984,,,,33,,,,,,,,,,,,,,,
,Scott-Ritchey Research Center,1265 H. C. Morgan Dr,"40,207",,1979,,,,38,,,,,,,,,,,,,,,
,Screenhouse (Insectory),411-N Research Rd,"1,196",,,,,,2017,,,,,,,,,,,,,,,
,Screenhouse (Insectory),411-G Research Rd,"1,498",,,,,,2017,,,,,,,,,,,,,,,
,Seed Processing Plant,1031 S Donahue Dr,"28,464",,1979,,,,38,,,,,,,,,,,,,,,
,Seedling Stress Lab,411-M Research Rd,"1,695",,,,,,2017,,,,,,,,,,,,,,,
,Shade House,411-E Research Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Shade House (Horticulture),450-F Duncan Dr,,,,,,,2017,,,,,,,,,,,,,,,
,"Shed, Equipment ADS",305 Shug Jordan Pkwy,,,,,,,2017,,,,,,,,,,,,,,,
,"Shed, Sawmill",520-B Devall Dr,"1,703",,1985,,,,32,,,,,,,,,,,,,,,
,Shelby Center for Engineering Technology,345 W Magnolia Av,"198,765",,2007,"$37,900,00",,,10,,,,,,,,,,,,,,,
,"Shelter, Sow Feeding 1",305 Shug Jordan Pkwy,,,,,,,2017,,,,,,,,,,,,,,,
,"Shelter, Sow Feeding 2",305 Shug Jordan Pkwy,,,,,,,2017,,,,,,,,,,,,,,,
,"Shelter, Sow Feeding 3",305 Shug Jordan Pkwy,,,,,,,2017,,,,,,,,,,,,,,,
,"Shelter, Sow Feeding 4",305 Shug Jordan Pkwy,,,,,,,2017,,,,,,,,,,,,,,,
,Sigma Alpha Epsilon,550 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Sigma Chi,737 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Sigma Chi Activities Bldg,737 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Sigma Nu,715 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Sigma Nu Activities Bldg,715 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Sigma Phi Epsilon,926 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Sigma Pi,960 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Smith (M. W.) Hall,381 Mell St,"50,269",,1948,,,,69,,,,,,,,,,,,,,,
,Smith (O. D.) Hall,135 S College St,"23,500",,1908,,,,109,,,,,,,,,,,,,,,
,Soccer & Track Facility,645 W Samford Av,"27,146",,2010,,,,7,,,,,,,,,,,,,,,
,Soccer Field,645 W Samford Av,,,,,,,2017,,,,,,,,,,,,,,,
,Soccer Field Pressbox,645 W Samford Av,,,,,,,2017,,,,,,,,,,,,,,,
,Soccer Field Pumphouse,645 W Samford Av,,,,,,,2017,,,,,,,,,,,,,,,
,Softball Complex,795 W Samford Av,"13,048",,1998,,,,19,,,,,,,,,,,,,,,
,Soil & Plant Samples Building,440 Research Rd,"5,843",,2010,,,,7,,,,,,,,,,,,,,,
,Solar House,490 Woodfield Dr,,,,,,,2017,,,,,,,,,,,,,,,
,South Donahue Residence Hall,391 S Donahue Dr,"272,056",,2013,,,,4,,,,,,,,,,,,,,,
,South Quad Parking Deck,330 Lem Morrison Dr,"218,135",,2011,,,,6,,,,,,,,,,,,,,,
,Spidle Hall,261 Mell St,"51,345",,1962,,,,55,,,,,,,,,,,,,,,
,SREC Pump House,,,,,,,,2017,,,,,,,,,,,,,,,
,SREC Storage Building,305 Shug Jordan Pkwy,511,,2005,,,,12,,,,,,,,,,,,,,,
,SREC: Breed/Gest,,,,,,,,2017,,,,,,,,,,,,,,,
,SREC: Feed Mill,305-A Shug Jordan Pkwy,"2,400",,2005,,,,12,,,,,,,,,,,,,,,
,SREC: Grow/Finish,305-F Shug Jordan Pkwy,"4,130",,2005,,,,12,,,,,,,,,,,,,,,
,SREC: Lab/Office,,,,,,,,2017,,,,,,,,,,,,,,,
,SREC: Nursery & Farrowing,305-D Shug Jordan Pkwy,,,2005,,,,12,,,,,,,,,,,,,,,
,Stadium Parking Deck,425 Heisman Dr,"248,817",,2006,,,,11,,,,,,,,,,,,,,,
,State (Pesticide Lab) Storage,,,,,,,,2017,,,,,,,,,,,,,,,
,State (Pesticide Laboratory),,,,,,,,2017,,,,,,,,,,,,,,,
,State Diagnostics Lab Building,890 Simms Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Storage (Equipment),925-D Old Camp Rd,"5,379",,1990,,,,27,,,,,,,,,,,,,,,
,Storage (Horticulture),420 Duncan Dr,"1,220",,1939,,,,78,,,,,,,,,,,,,,,
,Storage (Res. Op.),925-B Camp Auburn Rd,"2,088",,1976,,,,41,,,,,,,,,,,,,,,
,"Storage and Refrigeration, Hort",450-G Duncan Dr,"4,020",,1958,,,,59,,,,,,,,,,,,,,,
,Storage Building (Horticulture),,,,,,,,2017,,,,,,,,,,,,,,,
,"Storage, Forestry",520-A Devall Dr,"3,712",,1985,,,,32,,,,,,,,,,,,,,,
,"Storage, Shed (Veterinary)",906 Simms Rd,,,,,,,2017,,,,,,,,,,,,,,,
,"Storage/Utility Bldg, Turf Grass",,,,,,,,2017,,,,,,,,,,,,,,,
,Student Activities Center,684 Biggio Dr,"101,572",,1984,,,,33,,,,,,,,,,,,,,,
,Student Activity Pavilion,450 Biggio Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Student Center,255 Heisman Dr,"193,911",,2008,,,,9,,,,,,,,,,,,,,,
,Student Tennis Courts,700 Biggio Dr,886,,1980,,,,37,,,,,,,,,,,,,,,
,Sugg Calf Barn,952 Simms Rd,"4,125",,1977,,,,40,,,,,,,,,,,,,,,
,Sugg Hay Barn,950 Simms Rd,"3,904",,1961,,,,56,,,,,,,,,,,,,,,
,Sugg Laboratory,900 Simms Rd,"11,086",,1960,,,,57,,,,,,,,,,,,,,,
,Sugg Shavings Shed,954 Simms Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Swine Breeding Barn 1,920-A Old Camp Rd,,,2004,,,,13,,,,,,,,,,,,,,,
,Swine Breeding Barn 2,920-B Old Camp Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Swine Breeding Barn 3,920-C Old Camp Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Swine Breeding Evaluation Bldg,920 Old Camp Rd,947,,1965,,,,52,,,,,,,,,,,,,,,
,Swine Farrowing Barn,955 Simms Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Swingle Hall,382 Mell St,"30,243",,1972,,,,45,,,,,,,,,,,,,,,
,Talon Hall (The Village),201-A Wire Rd,"60,772",,2009,,,,8,,,,,,,,,,,,,,,
,Tau Kappa Epsilon,554 W Thach Av,,,,,,,2017,,,,,,,,,,,,,,,
,Teague Residence Hall (Dorm 04),302 Quad Dr,"24,036",,1938,,,,79,,,,,,,,,,,,,,,
,Telecom Tower Building,298 S Hemlock Dr,"2,501",,2005,,,,12,,,,,,,,,,,,,,,
,Telecomm and ETV Film Lab,432 S Donahue Dr,"6,769",,1955,,,,62,,,,,,,,,,,,,,,
,Telecomm and ETV Studio,428 S Donahue Dr,"1,908",,1947,,,,70,,,,,,,,,,,,,,,
,Telecommunication and ETV Office,422 S Donahue Dr,"7,815",,1990,,,,27,,,,,,,,,,,,,,,
,Telecommunication and ETV Scene Shop,434 S Donahue Dr,"1,989",,1947,,,,70,,,,,,,,,,,,,,,
,Terrell Dining Hall,310 P.O. Davis Dr,"32,862",,1962,,,,55,,,,,,,,,,,,,,,
,Textile Engineering Building,311 W Magnolia Av,"48,950",,1930,,,,87,,,,,,,,,,,,,,,
,Thach Hall,342 Thach Conc,"42,871",,1951,,,,66,,,,,,,,,,,,,,,
,"The Center for Advanced Science, Innovation and Commerce (CASIC)",559 Devall Dr,"78,517",,2013,,,,4,,,,,,,,,,,,,,,
,Theta Chi,935 Lem Morrison Dr,,,2007,,,,10,,,,,,,,,,,,,,,
,Theta Chi Activities Bldg,935 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Theta Xi,835 W Magnolia Av,,,,,,,2017,,,,,,,,,,,,,,,
,Tichenor Hall,322 Thach Conc,"41,757",,1940,,,,77,,,,,,,,,,,,,,,
,Tiger Hall (The Village),201-C Wire Rd,"58,213",,2009,,,,8,,,,,,,,,,,,,,,
,Tiger Rags Building,,,,,,,,2017,,,,,,,,,,,,,,,
,Toomer Residence Hall (Dorm C),437 Duncan Dr,"30,508",,1962,,,,55,,,,,,,,,,,,,,,
,Toomer's Corner,Corner of College and Magnolia,,,,,,,2017,,,,,,,,,,,,,,,
,"Trailer, Interior Design",,,,,,,,2017,,,,,,,,,,,,,,,
,University Chapel,139 S College St,"3,294",,1850,,,,167,,,,,,,,,,,,,,,
,Upchurch Hall (Animal Science Building),361 Mell St,"70,794",,1930,,,,87,,,,,,,,,,,,,,,
,USDA Research Lab,990 Wire Rd,,,,,,,2017,,,,,,,,,,,,,,,
,USDA Soil Tillage Lab,441 S Donahue Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Vaughan Large Animal Hospital,1500 Wire Rd,"82,353",,2003,,,,14,,,,,,,,,,,,,,,
,VCOM Building,910 S Donahue Dr.,,,,,,,2017,,,,,,,,,,,,,,,
,Veterinary Aquatic Pathobiology,750 Plant Rd,"1,625",,,,,,2017,,,,,,,,,,,,,,,
,Veterinary Education Center,1180 Wire Rd,"55,744",,1987,,,,30,,,,,,,,,,,,,,,
,Village Dining Hall,230 Beard-Eaves Ct,"40,245",,2009,,,,8,,,,,,,,,,,,,,,
,Walker Building,362 Thach Conc,"123,892",,1975,,,,42,,,,,,,,,,,,,,,
,Wallace Center,210 S Donahue Dr,"47,012",,1984,,,,33,,,,,,,,,,,,,,,
,Ware Imaging Center,630 Bovine Dr,"4,034",,1990,,,,27,,,,,,,,,,,,,,,
,Washrack Storage Building,,,,,,,,2017,,,,,,,,,,,,,,,
,Watson Field House,649 Biggio Dr,"31,860",,1997,,,,20,,,,,,,,,,,,,,,
,Wellness Kitchen,370 S Donahue Dr,"13,856",,2014,,,,3,,,,,,,,,,,,,,,
,Wiggins Hall,354 War Eagle Way,"75,695",,2011,,,,6,,,,,,,,,,,,,,,
,Willow Hall (The Village),201-D Wire Rd,"108,827",,2009,,,,8,,,,,,,,,,,,,,,
,Wilmore Laboratories,151 Wilmore Dr,"83,094",,1949,,,,68,,,,,,,,,,,,,,,
,Wilson Beef Teaching Lab,500 Shug Jordan Pkwy,"22,997",,2003,,,,14,,,,,,,,,,,,,,,
,Wilson Livestock Arena,650 South Donahue Dr,"14,138",,1961,,,,56,,,,,,,,,,,,,,,
,Wolfe Barn - Beef Hospital,1500-E Wire Rd,"11,827",,2005,,,,12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
