CAMPUS,BLDGNAME,Address,LEVELS,GROSS_SF,NSF,ASF,CONSTRUCTYR,Construction Cost,AGE,BUILDING TYPE,,,,,,,,,,,,,,
Animal Science Farm,Pump House Storage,,1,225,,,1977,,,,,,,,,,,,,,,,,
Animal Science Farm,Boiler,,1,200,,,1977,,,,,,,,,,,,,,,,,
Animal Science Farm,Poultry Basic Research Building,,1,"6,652",,,1991,,,,,,,,,,,,,,,,,
Animal Science Farm,Service Building #1 (Office),,1,"5,327",,,1991,,,,,,,,,,,,,,,,,
Animal Science Farm,Breeder/Cage - Room House,,1,"7,519",,,1991,,,,,,,,,,,,,,,,,
Animal Science Farm,Feed Mill,,1,"4,076",,,1991,,,,,,,,,,,,,,,,,
Animal Science Farm,Service Dog House,,1,"6,318",,,1999,,,,,,,,,,,,,,,,,
Plant Sciences Farm,Corn Crib,,1,405,,,1991,,,,,,,,,,,,,,,,,
Plant Sciences Farm,Machine Storage #2,,1,"4,965",,,1989,,,,,,,,,,,,,,,,,
Plant Sciences Farm,Managers Home #1,,1,"2,699",,,1950,,,,,,,,,,,,,,,,,
Plant Sciences Farm,Office/Shop #1,,1,"6,504",,,1950,,,,,,,,,,,,,,,,,
Plant Sciences Farm,Pesticide Storage #1,,1,"1,361",,,1989,,,,,,,,,,,,,,,,,
Plant Sciences Farm,Pole Barn,,1,"3,679",,,1950,,,,,,,,,,,,,,,,,
Horticulture Farm,Farm Support Building,,1,"2,315",,,1992,,,,,,,,,,,,,,,,,
Horticulture Farm,Machine Storage #3,,1,"5,290",,,1989,,,,,,,,,,,,,,,,,
Horticulture Farm,Roads & Grounds Building #1- Horticulture Farm,,1,"5,000",,,1998,,,,,,,,,,,,,,,,,
Horticulture Farm,Hay Storage,,1,"1,109",,,2001,,,,,,,,,,,,,,,,,
Horticulture Farm,Handling Facility,,1,80,,,2002,,,,,,,,,,,,,,,,,
WVU Forest,Equipment Shed #2,,1,"1,664",,,1900,,,,,,,,,,,,,,,,,
WVU Forest,Garage #1,,1,632,,,1980,,,,,,,,,,,,,,,,,
WVU Forest,Managers House #2,,1,"4,324",,,1991,,,,,,,,,,,,,,,,,
WVU Forest,Office/Shop #2,,1,"1,405",,,1900,,,,,,,,,,,,,,,,,
WVU Forest,Sawmill,,1,"3,856",,,1990,,,,,,,,,,,,,,,,,
WVU Forest,Westvaco National Resource Center,,1,"7,500",,,1993,,,,,,,,,,,,,,,,,
WVU Forest,Wood Shelter,,1,262,,,1993,,,,,,,,,,,,,,,,,
WVU Forest,Challenge Course Building,,1,405,348,348,2006,,,,,,,,,,,,,,,,,
WVU Forest,Challenge Course Restroom,,1,,,,2014,,,,,,,,,,,,,,,,,
WVU Forest,Adventure WV Pavilion,,1,,,,2014,,,,,,,,,,,,,,,,,
WVU Forest,Challenge Course Yurt,,1,707,700,700,2006,,,,,,,,,,,,,,,,,
WVU Forest,Challenge Course Tool Shed,,1,181,,,2012,,,,,,,,,,,,,,,,,
WVU Forest,Cluster A Classroom Yurt,,1,707,,,2016,,,,,,,,,,,,,,,,,
WVU Forest,Cluster A Yurt #1,,1,707,,,2016,,,,,,,,,,,,,,,,,
WVU Forest,Cluster A Yurt #2,,1,707,,,2016,,,,,,,,,,,,,,,,,
WVU Forest,Cluster A Yurt #3,,1,707,,,2016,,,,,,,,,,,,,,,,,
Animal Science Farm - South,Handicap Bus Garage,,1,"4,760",,,1950,,,,,,,,,,,,,,,,,
Animal Science Farm - South,HAZ-STOR BLDG #1,,1,893,,,1999,,,,,,,,,,,,,,,,,
Animal Science Farm - South,HAZ-STOR BLDG #2,,1,"1,420",,,1999,,,,,,,,,,,,,,,,,
Animal Science Farm - South,HAZ-STOR BLDG #3,,1,"1,420",,,1999,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Bee Equipment #1,,1,200,,,1946,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Bee Equipment #2,,1,104,,,1987,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Dwelling Garage,,1,754,,,1947,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Equipment Shed #3,,1,"1,440",,,1951,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Gould Research Center,,1,"8,000",,,1983,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Machine Shed #2,,1,"4,480",,,1900,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Machine Shop #3,,1,"7,721",,,1949,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Metal Shed #1,,1,59,,,1900,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Metal Shed #2,,1,59,,,1900,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Paint Shed #1,,1,167,,,1920,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Pesticide Storage #2,,1,"1,206",,,1975,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Quonset Hut #8,,1,165,,,1900,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Managers Home #3,,1,"8,297",,,1948,,,,,,,,,,,,,,,,,
Kearneysville Exp. Farm,Trailer,,1,962,,,1992,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Broiler Research #1,,1,"6,167",,,1947,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Bull Barn,,1,"3,864",,,1936,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Bull Shed,,1,"1,272",,,1943,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Cattle Barn,,1,"12,492",,,1950,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Cattle Research,,1,"4,719",,,1940,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Cattle Performance,,1,"28,627",,,1931,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Corn Crib #1,,1,216,,,1900,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Corn Crib #2,,1,216,,,1900,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Corn Crib #3,,1,216,,,1900,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Corn Crib #4,,1,216,,,1900,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Corn Crib #5,,1,216,,,1900,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Corn Crib #6,,1,216,,,1900,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Dairy,,1,529,,,1900,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Feed Bin #3,,1,68,,,1900,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Foreman Home,,1,"2,675",,,1946,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Granary,,1,"5,690",,,1950,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Grinding Shed,,1,813,,,1900,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Machine Storage #4,,1,"5,567",,,1950,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Office,,1,"2,802",,,1952,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Planer Shed,,1,"1,067",,,1929,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Poultry Man House,,1,"3,012",,,1944,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Pump House #1,,1,49,,,1931,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Pump House #2,,1,405,,,1931,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Storage Warehouse,,1,"2,259",,,1947,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Managers Home #4,,1,"6,505",,,1820,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Tenant Dwelling #1,,1,"2,548",,,1935,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Tenant Dwelling #2,,1,"2,019",,,1935,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Broiler Research #2 UF,,1,"2,850",,,1963,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Garage UF,,1,747,,,1964,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Sheep Barn UF,,1,"9,238",,,1929,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Spring House #2 UF,,1,504,,,1931,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Tenant Dwelling #3 UF,,1,"3,572",,,1899,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Spring House #1,,1,224,,,1990,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Feed Storage Bldg,,1,672,,,1991,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Broiler Breeder House,,1,"11,836",,,1991,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Broiler House,,1,"8,183",,,1991,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Aquaculture Building,,1,"5,600",,,2004,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Aquaculture Storage Shed,,1,240,,,2009,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Aquaponics Greenhouse,,1,"1,248",,,2009,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Aquaculture High Tunnel,,1,"2,400",,,2009,,,,,,,,,,,,,,,,,
Reymann Memorial Farm,Aquaculture Office Building,,1,240,,,2011,,,,,,,,,,,,,,,,,
Willow Bend Farm,Back Barn,,1,"4,142",,,1969,,,,,,,,,,,,,,,,,
Willow Bend Farm,Block Building,,1,888,,,1969,,,,,,,,,,,,,,,,,
Willow Bend Farm,Machine Shed #1,,1,"2,710",,,1969,,,,,,,,,,,,,,,,,
Willow Bend Farm,Managers Home #5,,1,"2,116",,,1981,,,,,,,,,,,,,,,,,
Willow Bend Farm,Scale House,,1,248,,,1969,,,,,,,,,,,,,,,,,
Willow Bend Farm,Sheep Barn,,1,"3,238",,,1981,,,,,,,,,,,,,,,,,
Willow Bend Farm,Silo #1,,1,131,,,1969,,,,,,,,,,,,,,,,,
Willow Bend Farm,Equipment Storage Shed,,1,"1,104",,,1987,,,,,,,,,,,,,,,,,
Willow Bend Farm,Wellhouse,,1,44,,,1981,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Feed Bin #4,,1,79,,,1983,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Horse Barn,,1,"28,346",,,1983,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Picnic Shelter,,1,"3,704",,,1983,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Equipment/Shop Building,,1,"6,810",,,1998,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Hay Barn #7,,1,"4,800",,,1998,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Cattle Shelter,,1,"4,056",,,1975,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Office #2,,1,459,,,1937,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Paint Shed #2,,1,192,,,1954,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Pole Barn #2,,1,"2,640",,,1974,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Shop,,1,"5,262",,,1937,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Hay Storage #6,,1,"4,800",,,1998,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Arena #2,,1,"27,662",,,2007,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Extension Trailer,,1,925,,,1988,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Cover Building #1,,1,"5,600",,,2011,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Cover Building #2,,1,"3,200",,,2011,,,,,,,,,,,,,,,,,
Reedsville Exp. Farm,Engineering Wind Tunnel,,1,"2,500",,,2011,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Ag. Hall of Fame,,1,"3,400",,,1951,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,All Faith Chapel,,1,866,,,1959,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Assembly Hall,,1,"5,556",,,1923,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Barbour Cottage,,1,"1,234",,,1929,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Blaker's Mill,,1,"2,727",,,1796,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Housekeeping,,1,971,,,1930,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Braxton Cottage,,1,"3,411",,,1935,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,C. P. Dorsey Research Center,,1,"17,904",,,1930,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Calhoun Cottage,,1,"3,125",,,1932,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,4H Livestock Unit,,1,"29,658",,,1956,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Consession Stand,,1,412,,,1950,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Director's House,,1,"4,769",,,1931,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Electric Energy Center,,1,"3,778",,,1930,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Main Pavilion,,1,"6,324",,,1949,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Gilmer Cottage,,1,"2,399",,,1927,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,4H Livestock Unit Shed,,1,319,,,1969,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Washstand,,1,480,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Harrison Cottage,,1,"6,505",,,1924,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,State Hollow Building,,1,864,,,1954,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Central Dist Office/Administration Building,,1,"6,970",,,1950,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Jackson Lodge,,1,"14,251",,,1968,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Kanawha Cottage,,1,"4,892",,,1940,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Lewis Cottage,,1,"3,428",,,1922,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Director's Garage,,1,"1,846",,,1935,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Maintenance Shop,,1,"8,534",,,1935,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Marion Cottage,,1,"7,109",,,1926,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,McWhorter Cabin,,1,876,,,1793,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Milking Parlor,,1,638,,,1955,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Monongalia Cottage,,1,"2,510",,,1929,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Monroe Cottage,,1,"2,517",,,1926,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Mt. Vernon Dining Hall,,1,"19,091",,,1925,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Old Mill,,1,"4,392",,,1801,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Paint Shed #3,,1,198,,,1942,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Northern Panhandle Cottage,,1,"3,924",,,1952,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Pool Building,,1,"1,942",,,1978,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Country Store,,1,264,,,1950,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Randolph Cottage,,1,"2,213",,,1929,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Southeastern Learning Center/WVU Grad. Center,,1,"4,900",,,1963,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Fallout Shelter,,1,235,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Upshur Cottage,,1,"2,259",,,1923,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Coke Building,,1,"6,783",,,1972,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Water Plant,,1,"1,949",,,1960,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Webster Cottage,,1,"2,063",,,1923,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,WV Building,,1,"3,405",,,1936,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Amphitheatre Building #1,,1,267,,,1940,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Amphitheatre Building #2,,1,267,,,1940,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Airport Garage,,1,594,,,1940,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Airport Barn,,1,"2,560",,,1940,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Supervisor's House,,2,"3,189",,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Supervisor's Garage,,1,700,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Supervisor's Shed,,1,54,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Jackson's Springhouse,,1,55,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Teams Course Storage,,1,52,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Pump House #4,,1,79,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Control House,,1,32,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Maintenance Building #3,,1,217,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Doyle Pavilion,,1,"2,100",,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Jubilee Pavilion,,1,"2,708",,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Rotary Pavilion,,1,"2,929",,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Barbecue Pit,,1,453,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Pavilion A,,1,218,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Pavilion B,,1,90,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,JM Water Tower,,0,-,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Mary Conrad House,,1,"1,238",,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Mountain State Building,,1,"1,818",,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Blacksmith Shop,,1,596,,,1900,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Compressed Natural Gas Station,,1,-,,,1998,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Bathhouse,,1,785,,,2003,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,South Campus Pavillion A,,1,"3,963",,,2003,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,South Campus Pavillion B,,1,"3,963",,,2004,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Stonewall Jackson Jubilee Storage Bldg,,1,"3,840",,,2004,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Carriage House,,1,508,,,2004,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Maintenance Supply Building,,1,541,,,2004,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Control House 2,,1,34,,,2004,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Blakers Mill Pump House,,1,672,,,2004,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,Fire Academy,,3,"25,752",,,2007,,,,,,,,,,,,,,,,,
Jacksons Mill 4-H Camp,JM Multipurpose Building,,1,"30,000",,,2010,,,,,,,,,,,,,,,,,
Mileground Campus,Bicentennial House,,3,"4,901",,,1854,,,,,,,,,,,,,,,,,
Mileground Campus,Motorpool Garage,,1,"13,460",,,1959,,,,,,,,,,,,,,,,,
Mileground Campus,Bicentennial House Annex,,1,"1,056",,,1998,,,,,,,,,,,,,,,,,
Mileground Campus,Motorpool Gas Station,,1,449,,,1998,,,,,,,,,,,,,,,,,
Mileground Campus,Geology & Geography Annex,,1,"3,822",,,1996,,,,,,,,,,,,,,,,,
Mileground Campus,Hydrogen Fueling Station,,1,384,,,2013,,,,,,,,,,,,,,,,,
Mileground Campus,"Rockhorn, Inc",,1,900,,,1900,,,,,,,,,,,,,,,,,
Mileground Campus,Hangar Storage Building,,1,368,,,1959,,,,,,,,,,,,,,,,,
Mileground Campus,Hanger,,2,"15,725",,,1959,,,,,,,,,,,,,,,,,
Mileground Campus,WVU CED Bldg,,0,-,,,2003,,,,,,,,,,,,,,,,,
Mileground Campus,Glenmark Bldg (Ceramics Prod. Stud. & Gallery/WVU Digital Doc. Services),,1,"7,894","7,199","6,265",2006,,,,,,,,,,,,,,,,,
Mileground Campus,24/7 Self Storage,,1,"1,500",,,2000,,,,,,,,,,,,,,,,,
Mileground Campus,National Alternative Fuels Training Consort.,,1,"11,824",,,2004,,,,,,,,,,,,,,,,,
Charleston Campus,Cox Hall,,2,"5,400",,,1900,,,,,,,,,,,,,,,,,
Charleston Campus,UACDD at Big Chimney,,1,"3,652",,,1900,,,,,,,,,,,,,,,,,
Charleston Campus,City Center East,,3,"17,338",,,0,,,,,,,,,,,,,,,,,
Charleston Campus,8152 A Court Avenue Bldg,,1,"1,550",,,0,,,,,,,,,,,,,,,,,
Westover Campus,130 Tower Lane,,1,"13,444",,,1900,,,,,,,,,,,,,,,,,
Westover Campus,WVU Storage & Surplus Center,,3,"34,104",,,1938,,,,,,,,,,,,,,,,,
Fairmont Campus,WVU/NASA Software IV & V Facility,,2,"56,065",,,1991,,,,,,,,,,,,,,,,,
Fairmont Campus,WVU NASA Robotics Lab,,1,"6,873",,,2008,,,Building,,,,,,,,,,,,,,
Fairmont Campus,WS Thomas Tranfer Co.,,1,"3,000",,,1900,,,,,,,,,,,,,,,,,
UES Central District,Doddridge Exten. Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Gilmer Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Lewis Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Marion Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,NIcholas Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Taylor Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Webster Exten Off,,1,912,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Upshur Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Boone Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Clay Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Fayette Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Harrison Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Monongalia Exten Off,,1,"1,000",,,1900,,,,,,,,,,,,,,,,,
UES Central District,Barbour Exten Off,,1,100,,,1900,,,,,,,,,,,,,,,,,
UES Central District,Central Dist Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Berkeley Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Mineral Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Hampshire Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Hardy Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Jefferson Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Eastern Dist Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Monroe Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Preston Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Randolph Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Tucker Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Greenbrier Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Morgan Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Pendleton Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Grant Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Eastern District,Thorne Properties,,1,600,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Logan Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Mercer Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Braxton Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Lincoln Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,McDowell Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Mingo Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Pocahontas Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Raleigh Exten Off,,1,"1,000",,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Summers Exten Off,,1,"1,000",,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Wayne Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Wyoming Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Southern Dist. Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Cabell Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Southern District,Carter Hall,,1,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Jackson Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Mason Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Pleasants Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Roane Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Wetzel Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Wood Exten Off,,1,"1,000",,,1900,,,,,,,,,,,,,,,,,
UES Western District,Western Dist. Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Brooke Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Calhoun Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Hancock Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Marshall Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Ohio Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Putnam Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Ritchie Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Tyler Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Wirt Exten Off,,,,,,1900,,,,,,,,,,,,,,,,,
UES Western District,Hoodat Rental Company,,,,,,1900,,,,,,,,,,,,,,,,,
"Health Sciences Campus, Main Campus",HSC North,,7,"552,500",,,1957,,,,,,,,,,,,,,,,,
"Health Sciences Campus, Main Campus",HSC South,,12,"552,368",,,1957,,,,,,,,,,,,,,,,,
"Health Sciences Campus, Main Campus",HSC Addition,,3,"21,925",,,1900,,,,,,,,,,,,,,,,,
"Health Sciences Campus, Main Campus",Blanchette Rockefeller Neuroscience Institute,,4,"81,068",,,2007,,,,,,,,,,,,,,,,,
"Health Sciences Campus, Main Campus",Biomedical Research Center,,6,"130,000",,,2008,,,,,,,,,,,,,,,,,
